leading_author_key;first_paper_year;first_lh_or_fh_paper_year
agaisse h;2002.0;2003.0
aguilera rj;2006.0;2006.0
aigaki t;2002.0;2005.0
anderson kv;1998.0;1998.0
ando i;1999.0;2005.0
badenhorst p;2008.0;2008.0
baron mj;2011.0;2011.0
beitel gj;2009.0;2009.0
birnbaum mj;2009.0;2009.0
boccard f;2000.0;2003.0
boutros m;2002.0;2002.0
brey pt;2000.0;2002.0
bulet p;1994.0;1998.0
cao y;2006.0;2006.0
carney ge;2008.0;2008.0
castillejo-lopez c;2005.0;2005.0
cerenius l;2006.0;2006.0
chapes sk;2009.0;2009.0
chapman t;2008.0;2008.0
chen dw;2010.0;2010.0
chen j;1996.0;2010.0
cho yh;2005.0;2005.0
chung j;2001.0;2001.0
courey aj;2000.0;2000.0
dafforn tr;2003.0;2003.0
dearolf cr;2003.0;2003.0
deisenhofer j;2004.0;2004.0
dolezal t;2011.0;2011.0
domingues p;2005.0;2005.0
dow ja;2005.0;2005.0
dushay ms;1995.0;1996.0
duvic b;2002.0;2010.0
edery i;2008.0;2008.0
ehret-sabatier l;2004.0;2004.0
eldon ed;1997.0;1997.0
engstrom y;1993.0;1993.0
ezekowitz ra;1996.0;1996.0
fauvarque mo;2007.0;2007.0
faye i;1993.0;1993.0
fedorka km;2007.0;2007.0
ferrandon d;1998.0;1998.0
ffrench-constant rh;1996.0;1996.0
foley e;2003.0;2003.0
franc nc;1996.0;1996.0
freitag ne;2003.0;2003.0
galko mj;2008.0;2008.0
gateff e;1969.0;1969.0
gay nj;2001.0;2001.0
ge bx;2006.0;2006.0
govind s;1995.0;2004.0
gubb d;1999.0;2006.0
gueydan c;2009.0;2009.0
gurevitz m;2009.0;2009.0
hacker u;2005.0;2005.0
haddad gg;2011.0;2011.0
han j;2010.0;2010.0
hashimoto c;2006.0;2006.0
heifetz y;2008.0;2008.0
hetru c;1994.0;2001.0
higgins de;2005.0;2005.0
hoch m;2010.0;2010.0
hodgetts rb;2008.0;2008.0
hoffmann ja;1990.0;1990.0
hultmark d;1990.0;1990.0
imler jl;1997.0;1998.0
ip yt;1993.0;1993.0
johnson ad;2006.0;2006.0
kanuka h;2009.0;2009.0
kim yj;2007.0;2007.0
kimbrell da;1990.0;1996.0
kirkpatrick rb;2001.0;2001.0
kontoyiannis dp;2008.0;2008.0
krieger m;1995.0;1995.0
kubli e;2005.0;2005.0
kurata s;2002.0;2002.0
lagueux m;1993.0;1997.0
lazzaro bp;2010.0;2010.0
lee wj;2000.0;2000.0
lemaitre b;1993.0;1995.0
leulier f;2000.0;2000.0
levine m;1993.0;1993.0
ligoxygakis p;2002.0;2002.0
ma wj;2004.0;2004.0
manfruelli p;1999.0;1999.0
maniatis t;2000.0;2000.0
manoil c;2001.0;2001.0
matt n;2011.0;2011.0
mckean ka;2005.0;2005.0
meier p;2006.0;2006.0
meister m;1992.0;1994.0
mengin-lecreulx d;2003.0;2004.0
mlodzik m;2006.0;2006.0
moore kj;2005.0;2005.0
morrow eh;2009.0;2009.0
moscat j;2002.0;2002.0
mosialos g;2007.0;2007.0
mylonakis e;2004.0;2004.0
nagata s;2002.0;2002.0
nakanishi y;2010.0;2010.0
nappi aj;1986.0;1986.0
natori s;2006.0;2006.0
nusse r;2005.0;2005.0
o'farrell ph;2003.0;2003.0
oh bh;2006.0;2006.0
orr wc;2010.0;2010.0
ottaviani e;2007.0;2007.0
palli sr;2008.0;2009.0
perrimon n;2002.0;2002.0
pletcher sd;2006.0;2006.0
promislow de;2007.0;2007.0
rahme lg;2003.0;2003.0
ramet m;2001.0;2001.0
reed jc;2000.0;2000.0
reichhart jm;1990.0;1992.0
richards g;1992.0;1996.0
rizki tm;1974.0;1959.0
roeder t;2008.0;2008.0
roussel a;2008.0;2008.0
royet j;2001.0;2001.0
sakaguchi k;2004.0;2004.0
samakovlis c;1990.0;1990.0
schmucker d;2005.0;2005.0
schneider d;2000.0;2000.0
schneider ds;2003.0;2000.0
schneiderman ha;1969.0;1969.0
schock f;2010.0;2010.0
schoofs l;2003.0;2003.0
schulz ra;2009.0;2009.0
senger k;2004.0;2004.0
seroude l;2008.0;2008.0
silverman n;2000.0;2000.0
soderhall k;2001.0;2001.0
steiner h;2000.0;2003.0
steward r;1995.0;2000.0
stoven s;2000.0;2000.0
surette mg;2008.0;2008.0
tanda s;2005.0;2005.0
tang ah;2008.0;2008.0
tatar m;2005.0;2005.0
taylor bj;2004.0;2004.0
theopold u;1996.0;1996.0
tower j;2009.0;2009.0
vilcinskas a;2009.0;2009.0
waltzer l;2010.0;2010.0
wasserman sa;2000.0;2004.0
watnick pi;2005.0;2005.0
wegner km;2008.0;2008.0
white k;1999.0;1999.0
whiteway m;2007.0;2007.0
williams mj;1997.0;1997.0
wu lp;1998.0;1998.0
xu t;2008.0;2008.0
yamaguchi m;2000.0;2000.0
yoo ma;2000.0;2001.0
yu xq;2007.0;2007.0
zhu s;2007.0;2007.0
